context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,33,4,accuracy,3,0.23666666666666666,0.021733231083604056,0.212,0.253
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,34,0,accuracy,3,0.2475,0.0723239241192014,0.188,0.328
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,34,1,accuracy,3,0.3601666666666667,0.10900611603636436,0.2705,0.4815
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,34,2,accuracy,3,0.34983333333333333,0.06079953398944216,0.2905,0.412
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,34,3,accuracy,3,0.16783333333333333,0.06707520654707919,0.099,0.233
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,34,4,accuracy,3,0.24216666666666667,0.010785793124908967,0.2345,0.2545
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,35,0,accuracy,3,0.24483333333333335,0.08129319364702886,0.1695,0.331
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,35,1,accuracy,3,0.35,0.05914600578230113,0.3105,0.418
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,35,2,accuracy,3,0.349,0.036660605559646724,0.309,0.381
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,35,3,accuracy,3,0.20483333333333334,0.039803684921541294,0.1775,0.2505
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,35,4,accuracy,3,0.233,0.03459768778401239,0.197,0.266
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,36,0,accuracy,3,0.24066666666666667,0.06275016600243646,0.178,0.3035
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,36,1,accuracy,3,0.3525,0.07692691336586956,0.2955,0.44
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,36,2,accuracy,3,0.31966666666666665,0.05757241816471958,0.2605,0.3755
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,36,3,accuracy,3,0.1725,0.06532036435905728,0.1055,0.236
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,36,4,accuracy,3,0.21766666666666667,0.03818813079129867,0.176,0.251
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,37,0,accuracy,3,0.23316666666666666,0.08244139332479367,0.1685,0.326
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,37,1,accuracy,3,0.3315,0.08266045003506815,0.254,0.4185
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,37,2,accuracy,3,0.3456666666666667,0.024147118530651494,0.318,0.3625
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,37,3,accuracy,3,0.17633333333333334,0.05101307022061438,0.13,0.231
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,37,4,accuracy,3,0.23533333333333334,0.011557825631723867,0.222,0.2425
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,38,0,accuracy,3,0.262,0.07053367989832943,0.197,0.337
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,38,1,accuracy,3,0.3515,0.08266045003506817,0.296,0.4465
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,38,2,accuracy,3,0.33466666666666667,0.04319818669033845,0.2955,0.381
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,38,3,accuracy,3,0.18916666666666668,0.06197647403114615,0.1355,0.257
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,38,4,accuracy,3,0.2385,0.00785811682275085,0.2315,0.247
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,39,0,accuracy,3,0.23566666666666666,0.07801014891239046,0.1715,0.3225
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,39,1,accuracy,3,0.36133333333333334,0.07657730299072522,0.3075,0.449
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,39,2,accuracy,3,0.3575,0.04081360067428504,0.3105,0.384
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,39,3,accuracy,3,0.18166666666666667,0.06129097269038347,0.1155,0.2365
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,39,4,accuracy,3,0.2316666666666667,0.0005773502691896263,0.231,0.232
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,40,0,accuracy,3,0.25066666666666665,0.07956496297575545,0.1755,0.334
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,40,1,accuracy,3,0.3556666666666667,0.09230565168684599,0.268,0.452
